@relation 'kredyty-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzły-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6'

@attribute rodzaj_źródła_dochodu numeric
@attribute miesięczny_dochód_netto numeric
@attribute które_rolowanie numeric
@attribute kwota_kredytu numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute płeć {Kobieta,Mężczyzna}
@attribute okres_pobierania_dochodu numeric
@attribute okres_będzie_pobierał_dochód numeric
@attribute status_pożyczki {dobry,zły}

@data
11,1300,0,600,'\'(42.8-55.2]\'',Kobieta,64,48,dobry
13,1735,0,694.6,'\'(55.2-67.6]\'',Kobieta,50,48,zły
11,1700,0,600,'\'(42.8-55.2]\'',Kobieta,85,48,dobry
11,1700,0,500,'\'(42.8-55.2]\'',Kobieta,302,48,dobry
12,1500,0,600,'\'(42.8-55.2]\'',Kobieta,5,0,dobry
12,2000,0,500,'\'(-inf-30.4]\'',Mężczyzna,14,1,zły
13,1428.55,0,235.97,'\'(55.2-67.6]\'',Kobieta,133,48,dobry
13,1100,0,744.6,'\'(55.2-67.6]\'',Kobieta,18,48,zły
11,1700,0,300,'\'(42.8-55.2]\'',Mężczyzna,35,48,dobry
11,2505,0,242.73,'\'(30.4-42.8]\'',Kobieta,160,48,dobry
13,782,0,283.08,'\'(55.2-67.6]\'',Kobieta,188,48,dobry
13,2098,0,700,'\'(67.6-inf)\'',Mężczyzna,193,48,dobry
16,1411,0,400,'\'(55.2-67.6]\'',Kobieta,62,48,dobry
17,684,0,800,'\'(55.2-67.6]\'',Kobieta,186,23,dobry
17,485,0,500,'\'(55.2-67.6]\'',Mężczyzna,139,47,dobry
13,1137.19,0,400,'\'(55.2-67.6]\'',Kobieta,92,48,dobry
12,1050,0,800,'\'(42.8-55.2]\'',Mężczyzna,2,0,zły
11,3170,0,400,'\'(42.8-55.2]\'',Kobieta,281,48,dobry
13,1212,0,500,'\'(55.2-67.6]\'',Kobieta,50,48,dobry
12,830.46,0,600,'\'(42.8-55.2]\'',Kobieta,41,30,dobry
13,1065,0,200,'\'(55.2-67.6]\'',Kobieta,18,48,dobry
11,5800,0,900,'\'(42.8-55.2]\'',Kobieta,50,48,dobry
13,1503,0,400,'\'(55.2-67.6]\'',Mężczyzna,162,48,dobry
13,1684,0,300,'\'(55.2-67.6]\'',Kobieta,16,48,dobry
13,640,0,450,'\'(67.6-inf)\'',Kobieta,135,48,dobry
13,2421.55,0,800,'\'(67.6-inf)\'',Kobieta,241,48,dobry
11,1000,0,800,'\'(55.2-67.6]\'',Mężczyzna,59,48,dobry
11,1800,0,300,'\'(30.4-42.8]\'',Mężczyzna,161,48,dobry
13,1189,0,285.97,'\'(55.2-67.6]\'',Kobieta,66,48,dobry
11,1510,0,700,'\'(55.2-67.6]\'',Mężczyzna,162,48,dobry
11,1680,0,300,'\'(55.2-67.6]\'',Kobieta,381,48,dobry
16,655,0,500,'\'(42.8-55.2]\'',Kobieta,27,48,dobry
17,646,0,300,'\'(30.4-42.8]\'',Kobieta,50,4,dobry
11,2100,0,600,'\'(30.4-42.8]\'',Mężczyzna,280,48,dobry
11,2825,0,300,'\'(30.4-42.8]\'',Kobieta,93,48,dobry
11,2800,0,600,'\'(42.8-55.2]\'',Kobieta,315,48,dobry
13,3541.9,0,524.09,'\'(67.6-inf)\'',Kobieta,123,48,dobry
13,1130,0,300,'\'(55.2-67.6]\'',Kobieta,99,48,dobry
11,1290,0,600,'\'(30.4-42.8]\'',Kobieta,15,48,dobry
12,988,0,200,'\'(42.8-55.2]\'',Mężczyzna,5,7,dobry
12,1800,0,800,'\'(-inf-30.4]\'',Mężczyzna,4,6,dobry
11,1900,0,903.23,'\'(30.4-42.8]\'',Kobieta,175,48,dobry
17,693,0,400,'\'(42.8-55.2]\'',Mężczyzna,16,20,zły
12,1655.76,0,600,'\'(30.4-42.8]\'',Mężczyzna,53,7,zły
13,997,0,300,'\'(55.2-67.6]\'',Kobieta,75,48,dobry
13,850,0,400,'\'(55.2-67.6]\'',Kobieta,63,48,dobry
13,968.87,0,500,'\'(55.2-67.6]\'',Kobieta,10,48,zły
12,1200,0,300,'\'(30.4-42.8]\'',Kobieta,5,9,dobry
11,1400,0,200,'\'(42.8-55.2]\'',Mężczyzna,10,48,dobry
13,1700,0,500,'\'(67.6-inf)\'',Mężczyzna,10,48,dobry
12,1800,0,1000,'\'(-inf-30.4]\'',Mężczyzna,7,0,dobry
13,1167.94,0,300,'\'(67.6-inf)\'',Kobieta,365,48,dobry
12,1680,1,721.94,'\'(55.2-67.6]\'',Kobieta,66,0,dobry
12,1447,1,500,'\'(-inf-30.4]\'',Kobieta,18,6,dobry
13,930,1,400,'\'(55.2-67.6]\'',Kobieta,127,48,dobry
13,1420.41,1,500,'\'(55.2-67.6]\'',Mężczyzna,20,48,zły
13,810,1,250,'\'(55.2-67.6]\'',Kobieta,29,48,dobry
11,1087,0,400,'\'(30.4-42.8]\'',Kobieta,234,48,dobry
11,1320,0,500,'\'(42.8-55.2]\'',Mężczyzna,338,48,dobry
13,1015,1,400,'\'(55.2-67.6]\'',Kobieta,105,48,dobry
11,3200,0,700,'\'(42.8-55.2]\'',Mężczyzna,185,48,dobry
13,544.63,0,200,'\'(55.2-67.6]\'',Kobieta,64,48,zły
16,1340,0,500,'\'(55.2-67.6]\'',Kobieta,157,48,dobry
11,1360,1,200,'\'(42.8-55.2]\'',Mężczyzna,116,48,dobry
11,4000,1,1000,'\'(42.8-55.2]\'',Mężczyzna,6,48,dobry
11,2050,1,408.77,'\'(30.4-42.8]\'',Kobieta,25,48,dobry
12,2000,1,200,'\'(42.8-55.2]\'',Kobieta,31,24,dobry
17,432.87,0,200,'\'(42.8-55.2]\'',Kobieta,141,5,dobry
11,3000,1,300,'\'(55.2-67.6]\'',Mężczyzna,208,48,dobry
12,1000,1,200,'\'(-inf-30.4]\'',Mężczyzna,8,17,dobry
99,980,1,449.7,'\'(-inf-30.4]\'',Mężczyzna,8,1,dobry
13,665.92,1,200,'\'(55.2-67.6]\'',Kobieta,121,48,dobry
13,1667,0,500,'\'(67.6-inf)\'',Kobieta,152,48,dobry
13,3900,1,300,'\'(42.8-55.2]\'',Mężczyzna,26,48,dobry
16,685,0,200,'\'(42.8-55.2]\'',Kobieta,37,48,dobry
16,959.6,0,200,'\'(67.6-inf)\'',Kobieta,111,48,dobry
13,1031,0,400,'\'(55.2-67.6]\'',Kobieta,117,48,dobry
11,1800,0,600,'\'(30.4-42.8]\'',Kobieta,48,48,dobry
13,1072,1,432.44,'\'(67.6-inf)\'',Kobieta,149,48,dobry
17,985,1,200,'\'(-inf-30.4]\'',Mężczyzna,9,2,dobry
11,1136.8,0,200,'\'(-inf-30.4]\'',Mężczyzna,5,48,dobry
99,2800,1,200,'\'(30.4-42.8]\'',Kobieta,6,0,dobry
11,770,1,200,'\'(42.8-55.2]\'',Kobieta,99,48,zły
99,750,0,300,'\'(-inf-30.4]\'',Mężczyzna,0,5,dobry
11,2670,1,800,'\'(55.2-67.6]\'',Kobieta,84,48,dobry
16,1313.41,0,400,'\'(55.2-67.6]\'',Mężczyzna,24,48,dobry
13,2291,1,700,'\'(67.6-inf)\'',Kobieta,67,48,dobry
13,1454.91,0,400,'\'(55.2-67.6]\'',Kobieta,38,48,dobry
11,2258,1,700,'\'(30.4-42.8]\'',Mężczyzna,71,48,dobry
13,1362,1,500,'\'(55.2-67.6]\'',Kobieta,52,48,dobry
11,2837,1,662.69,'\'(-inf-30.4]\'',Mężczyzna,122,48,dobry
13,714,1,200,'\'(55.2-67.6]\'',Kobieta,218,48,dobry
13,1026,1,200,'\'(67.6-inf)\'',Kobieta,243,48,dobry
15,482.94,0,200,'\'(55.2-67.6]\'',Mężczyzna,147,48,zły
13,1261.6,0,400,'\'(55.2-67.6]\'',Mężczyzna,49,48,dobry
13,1442.43,1,200,'\'(67.6-inf)\'',Kobieta,137,48,dobry
16,588,1,600,'\'(42.8-55.2]\'',Mężczyzna,418,48,dobry
12,1600,0,200,'\'(-inf-30.4]\'',Kobieta,0,2,zły
13,1668,1,352.42,'\'(55.2-67.6]\'',Kobieta,87,48,dobry
11,980,0,300,'\'(42.8-55.2]\'',Kobieta,196,48,dobry
12,1000,1,300,'\'(42.8-55.2]\'',Mężczyzna,39,23,dobry
17,926,1,300,'\'(-inf-30.4]\'',Mężczyzna,52,2,dobry
13,1240,1,300,'\'(55.2-67.6]\'',Kobieta,66,48,dobry
17,926,1,520.7,'\'(-inf-30.4]\'',Mężczyzna,52,2,dobry
13,1377.23,1,888.47,'\'(67.6-inf)\'',Kobieta,253,48,dobry
12,1000,1,200,'\'(30.4-42.8]\'',Mężczyzna,2,1,zły
11,1888.27,0,400,'\'(-inf-30.4]\'',Mężczyzna,73,48,dobry
11,1110,0,400,'\'(-inf-30.4]\'',Mężczyzna,6,48,dobry
13,865,1,300,'\'(67.6-inf)\'',Kobieta,124,48,dobry
16,1045.6,1,500,'\'(42.8-55.2]\'',Kobieta,8,48,dobry
12,900,1,400,'\'(-inf-30.4]\'',Mężczyzna,14,6,dobry
13,930,1,673.09,'\'(55.2-67.6]\'',Kobieta,90,48,dobry
11,1600,0,400,'\'(42.8-55.2]\'',Mężczyzna,45,48,dobry
11,3250,0,500,'\'(42.8-55.2]\'',Mężczyzna,1,48,dobry
13,1250,0,200,'\'(55.2-67.6]\'',Mężczyzna,63,48,dobry
13,802.83,0,200,'\'(55.2-67.6]\'',Kobieta,197,48,dobry
13,634.64,0,250,'\'(55.2-67.6]\'',Kobieta,9,48,dobry
13,1370,0,900,'\'(55.2-67.6]\'',Kobieta,72,48,dobry
11,1400,1,300,'\'(42.8-55.2]\'',Kobieta,21,48,dobry
17,749.74,1,200,'\'(42.8-55.2]\'',Mężczyzna,107,27,dobry
11,2200,0,900,'\'(30.4-42.8]\'',Kobieta,33,48,dobry
13,670,1,200,'\'(55.2-67.6]\'',Kobieta,62,48,dobry
11,1700,1,281.29,'\'(42.8-55.2]\'',Kobieta,201,48,dobry
98,450,0,200,'\'(42.8-55.2]\'',Mężczyzna,2,48,zły
11,2250.05,1,500,'\'(55.2-67.6]\'',Mężczyzna,172,48,dobry
99,645.31,0,300,'\'(42.8-55.2]\'',Kobieta,7,5,dobry
11,1187.06,0,200,'\'(55.2-67.6]\'',Kobieta,129,48,dobry
13,1090.14,0,400,'\'(55.2-67.6]\'',Kobieta,71,48,dobry
13,785,0,200,'\'(67.6-inf)\'',Kobieta,60,48,dobry
13,2802,1,700,'\'(67.6-inf)\'',Mężczyzna,243,48,dobry
11,1577.42,1,400,'\'(42.8-55.2]\'',Kobieta,201,48,dobry
12,3000,1,626.61,'\'(30.4-42.8]\'',Mężczyzna,4,6,dobry
12,1210,0,200,'\'(42.8-55.2]\'',Mężczyzna,3,6,dobry
11,3600,0,1000,'\'(30.4-42.8]\'',Mężczyzna,48,48,zły
99,611.36,0,300,'\'(55.2-67.6]\'',Mężczyzna,8,4,dobry
11,2700,1,500,'\'(30.4-42.8]\'',Mężczyzna,11,48,dobry
12,600,1,300,'\'(42.8-55.2]\'',Mężczyzna,5,22,dobry
17,1200,1,200,'\'(-inf-30.4]\'',Kobieta,161,19,dobry
11,1077.49,0,300,'\'(42.8-55.2]\'',Kobieta,368,48,dobry
13,1291.18,1,400,'\'(67.6-inf)\'',Kobieta,75,48,dobry
11,1033,0,400,'\'(30.4-42.8]\'',Mężczyzna,32,48,dobry
11,1800,1,500,'\'(42.8-55.2]\'',Kobieta,49,48,dobry
11,980,0,800,'\'(42.8-55.2]\'',Mężczyzna,108,48,zły
11,2050,1,575.74,'\'(30.4-42.8]\'',Mężczyzna,114,48,dobry
11,2400,0,600,'\'(30.4-42.8]\'',Kobieta,109,48,dobry
12,1700,1,400,'\'(42.8-55.2]\'',Kobieta,51,2,dobry
13,1408.27,0,300,'\'(55.2-67.6]\'',Mężczyzna,72,48,zły
16,1389,0,200,'\'(55.2-67.6]\'',Kobieta,87,48,dobry
16,763.38,0,200,'\'(55.2-67.6]\'',Mężczyzna,207,48,dobry
13,1017,1,285.97,'\'(67.6-inf)\'',Kobieta,157,48,dobry
11,658,0,200,'\'(42.8-55.2]\'',Kobieta,89,48,dobry
13,729.03,1,300,'\'(67.6-inf)\'',Kobieta,253,48,dobry
11,2031,1,600,'\'(55.2-67.6]\'',Mężczyzna,110,48,dobry
17,990,1,400,'\'(42.8-55.2]\'',Kobieta,68,17,dobry
11,2080,1,300,'\'(42.8-55.2]\'',Mężczyzna,314,48,dobry
12,1250,0,300,'\'(30.4-42.8]\'',Mężczyzna,11,1,zły
12,1017,0,200,'\'(30.4-42.8]\'',Mężczyzna,53,6,dobry
13,910,1,200,'\'(55.2-67.6]\'',Kobieta,66,48,dobry
11,1400,0,300,'\'(-inf-30.4]\'',Mężczyzna,21,48,dobry
98,3000,0,800,'\'(42.8-55.2]\'',Kobieta,7,48,zły
11,1700,0,500,'\'(30.4-42.8]\'',Kobieta,193,48,dobry
12,1040,1,400,'\'(42.8-55.2]\'',Kobieta,14,5,dobry
11,2500,0,300,'\'(30.4-42.8]\'',Mężczyzna,151,48,dobry
11,3500,0,1000,'\'(42.8-55.2]\'',Mężczyzna,30,48,zły
13,1244.77,1,300,'\'(55.2-67.6]\'',Kobieta,35,48,dobry
11,1060.96,0,400,'\'(30.4-42.8]\'',Mężczyzna,6,48,zły
13,960,1,300,'\'(67.6-inf)\'',Mężczyzna,136,48,dobry
13,1457,0,300,'\'(67.6-inf)\'',Mężczyzna,75,48,dobry
99,1000,0,200,'\'(30.4-42.8]\'',Kobieta,9,2,zły
12,700,0,200,'\'(30.4-42.8]\'',Mężczyzna,5,18,dobry
13,722.05,0,200,'\'(67.6-inf)\'',Kobieta,193,48,dobry
13,1216,1,200,'\'(55.2-67.6]\'',Kobieta,137,48,dobry
12,2000,0,500,'\'(30.4-42.8]\'',Kobieta,3,2,zły
13,1872,1,700,'\'(55.2-67.6]\'',Kobieta,31,48,dobry
13,3440,1,800,'\'(42.8-55.2]\'',Kobieta,47,48,dobry
12,1463.56,1,300,'\'(42.8-55.2]\'',Mężczyzna,2,10,dobry
11,2478,0,540.54,'\'(30.4-42.8]\'',Kobieta,154,48,zły
12,855,1,600,'\'(30.4-42.8]\'',Kobieta,40,20,dobry
98,4000,1,500.8,'\'(30.4-42.8]\'',Kobieta,15,48,dobry
11,4900,0,500,'\'(42.8-55.2]\'',Kobieta,7,48,dobry
13,1280,1,400,'\'(55.2-67.6]\'',Kobieta,13,48,dobry
11,2200,1,500,'\'(30.4-42.8]\'',Mężczyzna,81,48,dobry
12,1540,0,600,'\'(30.4-42.8]\'',Kobieta,35,4,dobry
12,1000,1,300,'\'(42.8-55.2]\'',Kobieta,28,1,dobry
16,726,1,300,'\'(55.2-67.6]\'',Mężczyzna,229,48,dobry
13,1530,1,500,'\'(55.2-67.6]\'',Mężczyzna,31,48,dobry
12,1000,1,300,'\'(42.8-55.2]\'',Mężczyzna,5,0,zły
11,1552.16,1,449.61,'\'(42.8-55.2]\'',Mężczyzna,95,48,dobry
11,2709.34,1,369.96,'\'(30.4-42.8]\'',Kobieta,177,48,dobry
12,2673.17,1,600,'\'(42.8-55.2]\'',Mężczyzna,108,48,dobry
13,1169,0,300,'\'(55.2-67.6]\'',Mężczyzna,75,48,zły
13,1561.87,0,400,'\'(55.2-67.6]\'',Mężczyzna,193,48,dobry
11,2470,1,426.61,'\'(42.8-55.2]\'',Kobieta,350,48,dobry
11,963.57,0,200,'\'(42.8-55.2]\'',Kobieta,212,48,zły
11,1344.9,0,300,'\'(42.8-55.2]\'',Kobieta,42,48,dobry
13,930,1,200,'\'(67.6-inf)\'',Kobieta,235,48,dobry
13,1125,1,200,'\'(55.2-67.6]\'',Kobieta,121,48,dobry
11,980.11,1,400,'\'(30.4-42.8]\'',Kobieta,41,48,dobry
12,1000,1,300,'\'(55.2-67.6]\'',Mężczyzna,8,2,dobry
13,1611,1,300,'\'(55.2-67.6]\'',Mężczyzna,137,48,dobry
13,1200,1,500,'\'(67.6-inf)\'',Kobieta,115,48,dobry
12,1215.64,0,800,'\'(55.2-67.6]\'',Kobieta,7,48,zły
13,1050,1,600,'\'(55.2-67.6]\'',Kobieta,135,48,dobry
13,1199.37,0,300,'\'(55.2-67.6]\'',Kobieta,11,48,dobry
13,1400,0,400,'\'(55.2-67.6]\'',Kobieta,50,48,dobry
12,1300,1,600,'\'(-inf-30.4]\'',Mężczyzna,23,18,dobry
11,1721.7,1,335.97,'\'(42.8-55.2]\'',Kobieta,116,48,dobry
17,798.8,1,300,'\'(42.8-55.2]\'',Mężczyzna,145,5,dobry
11,1500,0,200,'\'(55.2-67.6]\'',Mężczyzna,391,48,dobry
12,980,1,200,'\'(30.4-42.8]\'',Kobieta,6,0,dobry
13,1000,0,200,'\'(67.6-inf)\'',Kobieta,207,48,dobry
13,919,1,430,'\'(55.2-67.6]\'',Kobieta,137,48,dobry
12,1032,1,300,'\'(42.8-55.2]\'',Kobieta,34,6,dobry
12,2000,0,700,'\'(30.4-42.8]\'',Mężczyzna,6,6,zły
13,856,0,200,'\'(55.2-67.6]\'',Kobieta,53,48,dobry
11,2700,1,1000,'\'(-inf-30.4]\'',Mężczyzna,60,48,dobry
16,1770,1,500,'\'(55.2-67.6]\'',Mężczyzna,85,48,dobry
16,1788,1,300,'\'(42.8-55.2]\'',Kobieta,59,48,zły
12,599.03,0,200,'\'(30.4-42.8]\'',Kobieta,15,3,dobry
12,1000,1,231.22,'\'(42.8-55.2]\'',Mężczyzna,8,31,dobry
13,1085,1,400,'\'(55.2-67.6]\'',Kobieta,162,48,dobry
13,1900,1,500,'\'(55.2-67.6]\'',Mężczyzna,146,48,dobry
12,1963.88,0,400,'\'(42.8-55.2]\'',Mężczyzna,2,3,dobry
13,1772.53,0,400,'\'(67.6-inf)\'',Mężczyzna,276,48,dobry
16,1100,1,600,'\'(67.6-inf)\'',Mężczyzna,133,48,dobry
16,1473.04,0,400,'\'(55.2-67.6]\'',Mężczyzna,161,48,dobry
13,1026,1,300,'\'(55.2-67.6]\'',Kobieta,51,48,dobry
13,917,0,300,'\'(55.2-67.6]\'',Kobieta,72,48,dobry
13,1160,0,500,'\'(55.2-67.6]\'',Kobieta,74,48,dobry
98,3178,1,500,'\'(42.8-55.2]\'',Mężczyzna,197,48,dobry
11,932.34,1,200,'\'(42.8-55.2]\'',Kobieta,391,48,dobry
13,1420,0,200,'\'(67.6-inf)\'',Mężczyzna,49,48,dobry
17,734.94,0,200,'\'(42.8-55.2]\'',Kobieta,18,6,zły
11,1443,1,600,'\'(42.8-55.2]\'',Kobieta,30,48,dobry
13,2100,1,1000,'\'(67.6-inf)\'',Kobieta,51,48,dobry
13,936,1,300,'\'(55.2-67.6]\'',Kobieta,27,48,dobry
13,757.1,0,200,'\'(55.2-67.6]\'',Kobieta,194,48,zły
13,1083.23,1,200,'\'(55.2-67.6]\'',Kobieta,93,48,dobry
11,970,0,300,'\'(42.8-55.2]\'',Mężczyzna,194,48,zły
12,1300,0,300,'\'(-inf-30.4]\'',Kobieta,4,8,dobry
12,1500,0,300,'\'(-inf-30.4]\'',Kobieta,0,2,dobry
16,1362,1,400,'\'(42.8-55.2]\'',Kobieta,25,48,dobry
16,1138.01,0,300,'\'(67.6-inf)\'',Kobieta,3,48,dobry
13,2113.24,0,400,'\'(55.2-67.6]\'',Kobieta,57,48,dobry
11,1400,1,300,'\'(42.8-55.2]\'',Kobieta,157,48,dobry
13,3040,1,700,'\'(55.2-67.6]\'',Mężczyzna,197,48,dobry
13,1921,1,200,'\'(67.6-inf)\'',Mężczyzna,85,48,dobry
