@relation kredyty

@attribute status_pożyczki {splacona,splacona_cz,windykacja,windykacja_sp,odmowa}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesięczny_dochód_netto numeric
@attribute które_rolowanie numeric
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {Kobieta,Mężczyzna}
@attribute okres_pobierania_dochodu numeric
@attribute okres_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
splacona_cz,12,2000,0,500,53,Kobieta,5,21,0
splacona,13,1048.07,0,400,62,Mężczyzna,24,48,0
splacona_cz,12,1350,0,281.29,55,Kobieta,18,6,0
splacona_cz,11,1065,0,600,35,Kobieta,55,48,0
splacona,99,1500,0,300,30,Mężczyzna,7,0,0
splacona_cz,17,728,0,200,27,Mężczyzna,96,34,0
splacona_cz,11,1638,0,1239.88,52,Kobieta,310,48,0
windykacja_sp,11,3164.48,0,700,33,Kobieta,167,48,371
splacona_cz,13,1425,0,500,56,Kobieta,16,48,7
splacona_cz,13,965,0,200,75,Kobieta,241,48,0
odmowa,11,1650.26,0,300,56,Mężczyzna,30,48,0
odmowa,11,1030,0,400,51,Mężczyzna,19,48,0
splacona,13,1650,0,400,59,Kobieta,111,48,0
splacona_cz,13,1768.93,0,500,63,Mężczyzna,265,48,0
splacona_cz,11,1800,0,500,48,Mężczyzna,122,48,0
splacona_cz,11,1300,0,700,27,Kobieta,6,48,0
odmowa,16,550.8,0,200,53,Mężczyzna,61,48,0
splacona_cz,13,910.33,0,200,73,Mężczyzna,159,48,0
splacona_cz,11,980.11,0,300,34,Kobieta,41,48,0
splacona_cz,13,1162,0,200,62,Mężczyzna,217,48,0
splacona_cz,13,940,0,300,69,Mężczyzna,49,48,4
windykacja_sp,16,1199.93,0,300,23,Kobieta,138,48,486
splacona_cz,11,2031,0,400,56,Mężczyzna,110,48,0
splacona_cz,13,1000,0,500,60,Kobieta,64,48,2
splacona_cz,11,1050,0,400,52,Kobieta,14,48,6
splacona_cz,13,1426,0,300,71,Mężczyzna,73,48,0
splacona,13,1149.06,0,300,60,Kobieta,157,48,0
odmowa,16,387.71,0,200,52,Mężczyzna,96,48,0
odmowa,12,554,0,200,33,Mężczyzna,3,6,0
splacona,12,1660,0,300,25,Mężczyzna,9,17,348
splacona,13,984,0,300,61,Kobieta,7,48,0
splacona_cz,11,1172.2,0,400,56,Kobieta,33,48,2
splacona_cz,11,2700,0,400,35,Mężczyzna,4,48,12
splacona_cz,13,1500,0,250,58,Kobieta,42,48,0
splacona_cz,11,1300,0,600,54,Kobieta,64,48,0
windykacja_sp,13,1735,0,694.6,58,Kobieta,50,48,493
splacona_cz,11,1700,0,600,47,Kobieta,85,48,5
splacona_cz,11,1700,0,500,51,Kobieta,302,48,4
splacona_cz,12,1500,0,600,53,Kobieta,5,0,0
windykacja,12,2000,0,500,23,Mężczyzna,14,1,0
splacona_cz,13,1428.55,0,235.97,66,Kobieta,133,48,2
windykacja,13,1100,0,744.6,60,Kobieta,18,48,0
splacona_cz,11,1700,0,300,54,Mężczyzna,35,48,0
splacona_cz,11,2505,0,242.73,40,Kobieta,160,48,0
splacona,13,782,0,283.08,57,Kobieta,188,48,18
splacona_cz,13,2098,0,700,75,Mężczyzna,193,48,3
splacona_cz,16,1411,0,400,60,Kobieta,62,48,4
splacona_cz,17,684,0,800,58,Kobieta,186,23,0
splacona_cz,17,485,0,500,58,Mężczyzna,139,47,7
splacona_cz,13,1137.19,0,400,66,Kobieta,92,48,0
odmowa,12,1050,0,800,43,Mężczyzna,2,0,0
splacona_cz,11,3170,0,400,47,Kobieta,281,48,0
splacona_cz,13,1212,0,500,60,Kobieta,50,48,0
splacona,12,830.46,0,600,47,Kobieta,41,30,0
splacona_cz,13,1065,0,200,62,Kobieta,18,48,4
splacona_cz,11,5800,0,900,47,Kobieta,50,48,0
splacona_cz,13,1503,0,400,61,Mężczyzna,162,48,1
splacona_cz,13,1684,0,300,61,Kobieta,16,48,0
splacona_cz,13,640,0,450,72,Kobieta,135,48,0
splacona_cz,13,2421.55,0,800,80,Kobieta,241,48,0
splacona_cz,11,1000,0,800,60,Mężczyzna,59,48,0
splacona_cz,11,1800,0,300,33,Mężczyzna,161,48,1
splacona_cz,13,1189,0,285.97,62,Kobieta,66,48,0
splacona_cz,11,1510,0,700,58,Mężczyzna,162,48,0
splacona_cz,11,1680,0,300,57,Kobieta,381,48,0
splacona_cz,16,655,0,500,53,Kobieta,27,48,0
splacona,17,646,0,300,40,Kobieta,50,4,16
splacona_cz,11,2100,0,600,42,Mężczyzna,280,48,16
splacona,11,2825,0,300,39,Kobieta,93,48,0
splacona_cz,11,2800,0,600,49,Kobieta,315,48,1
splacona,13,3541.9,0,524.09,72,Kobieta,123,48,31
splacona_cz,13,1130,0,300,62,Kobieta,99,48,0
splacona_cz,11,1290,0,600,32,Kobieta,15,48,0
splacona_cz,12,988,0,200,54,Mężczyzna,5,7,1
splacona_cz,12,1800,0,800,29,Mężczyzna,4,6,0
splacona_cz,11,1900,0,903.23,36,Kobieta,175,48,2
odmowa,17,693,0,400,49,Mężczyzna,16,20,0
windykacja_sp,12,1655.76,0,600,32,Mężczyzna,53,7,492
splacona_cz,13,997,0,300,61,Kobieta,75,48,0
splacona_cz,13,850,0,400,66,Kobieta,63,48,2
odmowa,13,968.87,0,500,56,Kobieta,10,48,0
splacona_cz,12,1200,0,300,35,Kobieta,5,9,1
splacona_cz,11,1400,0,200,49,Mężczyzna,10,48,0
splacona_cz,13,1700,0,500,72,Mężczyzna,10,48,1
splacona_cz,12,1800,0,1000,28,Mężczyzna,7,0,2
splacona,13,1167.94,0,300,79,Kobieta,365,48,0
splacona_cz,12,1680,1,721.94,57,Kobieta,66,0,2
splacona_cz,12,1447,1,500,29,Kobieta,18,6,1
splacona_cz,13,930,1,400,65,Kobieta,127,48,0
windykacja_sp,13,1420.41,1,500,62,Mężczyzna,20,48,484
splacona_cz,13,810,1,250,60,Kobieta,29,48,0
splacona_cz,11,1087,0,400,40,Kobieta,234,48,17
splacona_cz,11,1320,0,500,53,Mężczyzna,338,48,1
splacona_cz,13,1015,1,400,64,Kobieta,105,48,6
splacona_cz,11,3200,0,700,52,Mężczyzna,185,48,0
odmowa,13,544.63,0,200,63,Kobieta,64,48,0
splacona_cz,16,1340,0,500,63,Kobieta,157,48,0
splacona_cz,11,1360,1,200,46,Mężczyzna,116,48,0
splacona_cz,11,4000,1,1000,53,Mężczyzna,6,48,1
splacona,11,2050,1,408.77,33,Kobieta,25,48,0
splacona_cz,12,2000,1,200,50,Kobieta,31,24,0
splacona,17,432.87,0,200,53,Kobieta,141,5,41
splacona_cz,11,3000,1,300,60,Mężczyzna,208,48,3
splacona_cz,12,1000,1,200,24,Mężczyzna,8,17,0
splacona_cz,99,980,1,449.7,23,Mężczyzna,8,1,0
splacona_cz,13,665.92,1,200,65,Kobieta,121,48,4
splacona,13,1667,0,500,71,Kobieta,152,48,0
splacona_cz,13,3900,1,300,49,Mężczyzna,26,48,0
splacona,16,685,0,200,52,Kobieta,37,48,0
splacona_cz,16,959.6,0,200,69,Kobieta,111,48,0
splacona,13,1031,0,400,66,Kobieta,117,48,0
splacona_cz,11,1800,0,600,39,Kobieta,48,48,5
splacona_cz,13,1072,1,432.44,69,Kobieta,149,48,1
splacona_cz,17,985,1,200,20,Mężczyzna,9,2,1
splacona_cz,11,1136.8,0,200,26,Mężczyzna,5,48,0
splacona_cz,99,2800,1,200,38,Kobieta,6,0,0
windykacja_sp,11,770,1,200,47,Kobieta,99,48,449
splacona_cz,99,750,0,300,19,Mężczyzna,0,5,0
splacona_cz,11,2670,1,800,60,Kobieta,84,48,6
splacona_cz,16,1313.41,0,400,62,Mężczyzna,24,48,0
splacona_cz,13,2291,1,700,69,Kobieta,67,48,0
splacona_cz,13,1454.91,0,400,58,Kobieta,38,48,0
splacona_cz,11,2258,1,700,42,Mężczyzna,71,48,0
splacona_cz,13,1362,1,500,61,Kobieta,52,48,4
splacona,11,2837,1,662.69,30,Mężczyzna,122,48,12
splacona_cz,13,714,1,200,62,Kobieta,218,48,3
splacona_cz,13,1026,1,200,74,Kobieta,243,48,1
odmowa,15,482.94,0,200,60,Mężczyzna,147,48,0
splacona_cz,13,1261.6,0,400,64,Mężczyzna,49,48,0
splacona_cz,13,1442.43,1,200,79,Kobieta,137,48,0
splacona_cz,16,588,1,600,55,Mężczyzna,418,48,0
windykacja,12,1600,0,200,20,Kobieta,0,2,0
splacona_cz,13,1668,1,352.42,63,Kobieta,87,48,0
splacona,11,980,0,300,48,Kobieta,196,48,0
splacona,12,1000,1,300,50,Mężczyzna,39,23,0
splacona_cz,17,926,1,300,24,Mężczyzna,52,2,7
splacona_cz,13,1240,1,300,58,Kobieta,66,48,1
splacona_cz,17,926,1,520.7,24,Mężczyzna,52,2,7
splacona,13,1377.23,1,888.47,76,Kobieta,253,48,150
windykacja,12,1000,1,200,40,Mężczyzna,2,1,0
splacona_cz,11,1888.27,0,400,29,Mężczyzna,73,48,0
splacona,11,1110,0,400,25,Mężczyzna,6,48,0
splacona_cz,13,865,1,300,70,Kobieta,124,48,10
splacona_cz,16,1045.6,1,500,54,Kobieta,8,48,0
splacona_cz,12,900,1,400,28,Mężczyzna,14,6,1
splacona_cz,13,930,1,673.09,63,Kobieta,90,48,5
splacona,11,1600,0,400,55,Mężczyzna,45,48,406
splacona_cz,11,3250,0,500,49,Mężczyzna,1,48,3
splacona,13,1250,0,200,67,Mężczyzna,63,48,0
splacona_cz,13,802.83,0,200,65,Kobieta,197,48,0
splacona,13,634.64,0,250,61,Kobieta,9,48,0
splacona_cz,13,1370,0,900,59,Kobieta,72,48,2
splacona_cz,11,1400,1,300,43,Kobieta,21,48,0
splacona,17,749.74,1,200,52,Mężczyzna,107,27,0
splacona,11,2200,0,900,33,Kobieta,33,48,0
splacona,13,670,1,200,65,Kobieta,62,48,0
splacona_cz,11,1700,1,281.29,53,Kobieta,201,48,0
odmowa,98,450,0,200,44,Mężczyzna,2,48,0
splacona,11,2250.05,1,500,61,Mężczyzna,172,48,14
splacona,99,645.31,0,300,43,Kobieta,7,5,0
splacona_cz,11,1187.06,0,200,56,Kobieta,129,48,0
splacona_cz,13,1090.14,0,400,61,Kobieta,71,48,0
splacona_cz,13,785,0,200,72,Kobieta,60,48,0
splacona_cz,13,2802,1,700,72,Mężczyzna,243,48,16
splacona_cz,11,1577.42,1,400,50,Kobieta,201,48,1
splacona,12,3000,1,626.61,37,Mężczyzna,4,6,29
splacona,12,1210,0,200,52,Mężczyzna,3,6,0
odmowa,11,3600,0,1000,38,Mężczyzna,48,48,0
splacona_cz,99,611.36,0,300,61,Mężczyzna,8,4,0
splacona_cz,11,2700,1,500,31,Mężczyzna,11,48,0
splacona_cz,12,600,1,300,47,Mężczyzna,5,22,0
splacona_cz,17,1200,1,200,25,Kobieta,161,19,0
splacona_cz,11,1077.49,0,300,48,Kobieta,368,48,0
splacona_cz,13,1291.18,1,400,70,Kobieta,75,48,0
splacona_cz,11,1033,0,400,33,Mężczyzna,32,48,3
splacona_cz,11,1800,1,500,49,Kobieta,49,48,2
odmowa,11,980,0,800,50,Mężczyzna,108,48,0
splacona_cz,11,2050,1,575.74,32,Mężczyzna,114,48,1
splacona_cz,11,2400,0,600,35,Kobieta,109,48,0
splacona_cz,12,1700,1,400,54,Kobieta,51,2,0
odmowa,13,1408.27,0,300,66,Mężczyzna,72,48,0
splacona,16,1389,0,200,63,Kobieta,87,48,0
splacona_cz,16,763.38,0,200,57,Mężczyzna,207,48,0
splacona_cz,13,1017,1,285.97,68,Kobieta,157,48,1
splacona_cz,11,658,0,200,46,Kobieta,89,48,0
splacona_cz,13,729.03,1,300,70,Kobieta,253,48,0
splacona,11,2031,1,600,56,Mężczyzna,110,48,0
splacona_cz,17,990,1,400,50,Kobieta,68,17,0
splacona_cz,11,2080,1,300,53,Mężczyzna,314,48,0
odmowa,12,1250,0,300,31,Mężczyzna,11,1,0
splacona_cz,12,1017,0,200,36,Mężczyzna,53,6,0
splacona_cz,13,910,1,200,66,Kobieta,66,48,0
splacona,11,1400,0,300,23,Mężczyzna,21,48,0
odmowa,98,3000,0,800,45,Kobieta,7,48,0
splacona_cz,11,1700,0,500,36,Kobieta,193,48,1
splacona_cz,12,1040,1,400,52,Kobieta,14,5,0
splacona,11,2500,0,300,36,Mężczyzna,151,48,0
odmowa,11,3500,0,1000,47,Mężczyzna,30,48,0
splacona_cz,13,1244.77,1,300,58,Kobieta,35,48,1
windykacja_sp,11,1060.96,0,400,34,Mężczyzna,6,48,464
splacona_cz,13,960,1,300,73,Mężczyzna,136,48,7
splacona_cz,13,1457,0,300,73,Mężczyzna,75,48,0
odmowa,99,1000,0,200,42,Kobieta,9,2,0
splacona_cz,12,700,0,200,40,Mężczyzna,5,18,0
splacona_cz,13,722.05,0,200,71,Kobieta,193,48,6
splacona_cz,13,1216,1,200,66,Kobieta,137,48,0
windykacja,12,2000,0,500,34,Kobieta,3,2,0
splacona_cz,13,1872,1,700,58,Kobieta,31,48,1
splacona_cz,13,3440,1,800,55,Kobieta,47,48,8
splacona,12,1463.56,1,300,43,Mężczyzna,2,10,0
windykacja_sp,11,2478,0,540.54,36,Kobieta,154,48,436
splacona_cz,12,855,1,600,31,Kobieta,40,20,0
splacona_cz,98,4000,1,500.8,35,Kobieta,15,48,1
splacona,11,4900,0,500,50,Kobieta,7,48,0
splacona_cz,13,1280,1,400,61,Kobieta,13,48,0
splacona_cz,11,2200,1,500,35,Mężczyzna,81,48,8
splacona_cz,12,1540,0,600,33,Kobieta,35,4,0
splacona_cz,12,1000,1,300,50,Kobieta,28,1,9
splacona_cz,16,726,1,300,59,Mężczyzna,229,48,2
splacona_cz,13,1530,1,500,64,Mężczyzna,31,48,5
windykacja,12,1000,1,300,52,Mężczyzna,5,0,0
splacona,11,1552.16,1,449.61,54,Mężczyzna,95,48,236
splacona_cz,11,2709.34,1,369.96,35,Kobieta,177,48,1
splacona_cz,12,2673.17,1,600,51,Mężczyzna,108,48,0
windykacja_sp,13,1169,0,300,66,Mężczyzna,75,48,398
splacona_cz,13,1561.87,0,400,57,Mężczyzna,193,48,1
splacona_cz,11,2470,1,426.61,49,Kobieta,350,48,0
odmowa,11,963.57,0,200,47,Kobieta,212,48,0
splacona_cz,11,1344.9,0,300,45,Kobieta,42,48,5
splacona_cz,13,930,1,200,72,Kobieta,235,48,0
splacona,13,1125,1,200,65,Kobieta,121,48,0
splacona_cz,11,980.11,1,400,34,Kobieta,41,48,0
splacona_cz,12,1000,1,300,60,Mężczyzna,8,2,8
splacona,13,1611,1,300,65,Mężczyzna,137,48,0
splacona_cz,13,1200,1,500,70,Kobieta,115,48,0
odmowa,12,1215.64,0,800,57,Kobieta,7,48,0
splacona_cz,13,1050,1,600,61,Kobieta,135,48,1
splacona,13,1199.37,0,300,61,Kobieta,11,48,452
splacona_cz,13,1400,0,400,59,Kobieta,50,48,0
splacona_cz,12,1300,1,600,29,Mężczyzna,23,18,7
splacona_cz,11,1721.7,1,335.97,54,Kobieta,116,48,1
splacona_cz,17,798.8,1,300,54,Mężczyzna,145,5,7
splacona_cz,11,1500,0,200,57,Mężczyzna,391,48,1
splacona_cz,12,980,1,200,31,Kobieta,6,0,3
splacona,13,1000,0,200,75,Kobieta,207,48,7
splacona_cz,13,919,1,430,66,Kobieta,137,48,14
splacona_cz,12,1032,1,300,46,Kobieta,34,6,5
odmowa,12,2000,0,700,35,Mężczyzna,6,6,0
splacona_cz,13,856,0,200,64,Kobieta,53,48,0
splacona_cz,11,2700,1,1000,30,Mężczyzna,60,48,0
splacona_cz,16,1770,1,500,58,Mężczyzna,85,48,0
windykacja_sp,16,1788,1,300,54,Kobieta,59,48,462
splacona_cz,12,599.03,0,200,37,Kobieta,15,3,6
splacona_cz,12,1000,1,231.22,52,Mężczyzna,8,31,7
splacona_cz,13,1085,1,400,67,Kobieta,162,48,0
splacona_cz,13,1900,1,500,56,Mężczyzna,146,48,0
splacona_cz,12,1963.88,0,400,44,Mężczyzna,2,3,0
splacona,13,1772.53,0,400,71,Mężczyzna,276,48,0
splacona_cz,16,1100,1,600,69,Mężczyzna,133,48,0
splacona_cz,16,1473.04,0,400,65,Mężczyzna,161,48,4
splacona_cz,13,1026,1,300,60,Kobieta,51,48,0
splacona,13,917,0,300,63,Kobieta,72,48,10
splacona_cz,13,1160,0,500,61,Kobieta,74,48,0
splacona_cz,98,3178,1,500,43,Mężczyzna,197,48,7
splacona_cz,11,932.34,1,200,51,Kobieta,391,48,0
splacona_cz,13,1420,0,200,70,Mężczyzna,49,48,0
odmowa,17,734.94,0,200,51,Kobieta,18,6,0
splacona_cz,11,1443,1,600,43,Kobieta,30,48,0
splacona_cz,13,2100,1,1000,73,Kobieta,51,48,0
splacona_cz,13,936,1,300,60,Kobieta,27,48,0
odmowa,13,757.1,0,200,67,Kobieta,194,48,0
splacona,13,1083.23,1,200,58,Kobieta,93,48,0
odmowa,11,970,0,300,54,Mężczyzna,194,48,0
splacona_cz,12,1300,0,300,26,Kobieta,4,8,1
splacona_cz,12,1500,0,300,22,Kobieta,0,2,1
splacona_cz,16,1362,1,400,53,Kobieta,25,48,0
splacona,16,1138.01,0,300,73,Kobieta,3,48,16
splacona_cz,13,2113.24,0,400,64,Kobieta,57,48,0
splacona_cz,11,1400,1,300,52,Kobieta,157,48,1
splacona_cz,13,3040,1,700,65,Mężczyzna,197,48,0
splacona,13,1921,1,200,71,Mężczyzna,85,48,0
splacona_cz,12,984.34,0,200,53,Kobieta,14,6,0
splacona_cz,13,580,1,800,56,Kobieta,115,48,3
splacona_cz,11,1000,1,300,30,Mężczyzna,53,48,0
splacona_cz,13,1820,1,1000,61,Kobieta,65,48,0
splacona_cz,11,901,0,300,28,Kobieta,36,48,0
splacona_cz,13,2000,1,250,68,Mężczyzna,41,48,0
splacona_cz,11,1077,1,200,55,Kobieta,179,48,0
splacona,13,1162.41,1,250,68,Mężczyzna,100,48,0
odmowa,11,1870,0,200,49,Kobieta,260,48,0
windykacja,11,2256,0,800,32,Mężczyzna,70,48,0
splacona_cz,11,992.84,1,300,49,Kobieta,117,48,1
splacona_cz,17,728,1,200,27,Mężczyzna,96,34,0
splacona_cz,11,2947,1,476.61,59,Mężczyzna,49,48,4
splacona_cz,98,911,1,250,46,Kobieta,94,48,1
splacona_cz,13,1134.96,1,200,68,Kobieta,157,48,5
splacona_cz,12,1382,0,200,37,Kobieta,17,6,0
splacona_cz,13,866.46,1,200,73,Kobieta,191,48,0
odmowa,13,825.69,0,300,61,Kobieta,3,48,0
splacona,12,1030,1,296.54,34,Mężczyzna,1,22,22
splacona_cz,11,2100,0,400,60,Mężczyzna,183,48,0
splacona,13,1800,1,200,69,Kobieta,113,48,0
splacona,16,650.77,0,200,64,Mężczyzna,44,48,0
splacona_cz,16,1072.89,1,300,55,Kobieta,118,48,0
splacona_cz,13,2040,0,300,63,Mężczyzna,140,48,0
windykacja,11,1200,0,400,54,Kobieta,97,48,0
splacona_cz,16,634.64,0,300,57,Kobieta,132,48,0
splacona_cz,12,1042,0,300,49,Mężczyzna,1,1,0
splacona_cz,11,3500,1,400,42,Mężczyzna,24,48,5
odmowa,12,1200,0,300,31,Mężczyzna,1,1,0
splacona_cz,11,1037.34,1,200,41,Kobieta,58,48,0
splacona,13,714,1,200,62,Kobieta,218,48,0
splacona_cz,13,1287.66,0,300,63,Mężczyzna,92,48,5
splacona_cz,98,2200,1,500,47,Kobieta,21,48,0
windykacja_sp,11,2300,0,200,37,Mężczyzna,101,48,148
splacona,11,1566.82,0,200,46,Mężczyzna,345,48,0
splacona,11,1071.61,0,200,52,Kobieta,399,48,182
splacona_cz,11,800.51,0,400,38,Kobieta,16,48,1
windykacja,12,1500,1,500,52,Kobieta,22,10,0
splacona_cz,12,1400,0,300,28,Mężczyzna,5,18,7
odmowa,12,1134.4,0,200,23,Kobieta,7,8,0
splacona_cz,11,967.64,0,200,48,Kobieta,315,48,0
splacona_cz,13,1635,1,200,60,Kobieta,116,48,7
splacona_cz,11,2875.71,1,1100,42,Mężczyzna,274,48,4
splacona_cz,13,1000,0,300,70,Kobieta,60,48,0
splacona_cz,13,1400,1,400,59,Kobieta,242,48,0
splacona,13,2612,0,500,72,Mężczyzna,78,48,0
splacona_cz,13,930,0,400,59,Kobieta,28,48,1
splacona_cz,12,1100,1,300,65,Mężczyzna,18,18,2
splacona_cz,11,1900,1,694,38,Kobieta,204,48,1
splacona_cz,13,815,0,300,67,Kobieta,140,48,4
splacona_cz,13,1500,1,500,61,Mężczyzna,19,48,0
odmowa,12,1300,0,300,29,Mężczyzna,0,3,0
splacona_cz,11,2100,1,300,33,Mężczyzna,60,48,1
splacona,17,1100,0,200,56,Kobieta,23,10,0
splacona_cz,11,1493.98,0,200,47,Kobieta,357,48,0
splacona_cz,11,1400,0,421.62,33,Kobieta,97,48,1
splacona_cz,13,1272,0,500,62,Mężczyzna,12,48,5
splacona,11,1638,1,1239.88,52,Kobieta,310,48,14
splacona_cz,11,2500,0,600,49,Kobieta,229,48,0
splacona,13,840,1,200,64,Kobieta,109,48,0
splacona_cz,12,950,0,200,37,Mężczyzna,3,12,0
windykacja,11,2825,0,500,39,Kobieta,93,48,298
splacona_cz,13,2066,1,700,61,Kobieta,125,48,1
splacona_cz,13,1094,0,300,67,Kobieta,180,48,6
splacona_cz,11,1400,1,600,58,Kobieta,159,48,13
splacona_cz,13,1185.33,1,200,71,Kobieta,220,48,3
splacona_cz,13,1658,1,300,59,Kobieta,25,48,0
splacona_cz,13,1900,1,500,62,Kobieta,84,48,0
odmowa,13,770,0,200,74,Mężczyzna,108,48,0
splacona_cz,12,1952.35,0,200,44,Mężczyzna,0,11,0
splacona_cz,12,1030,1,200,54,Mężczyzna,5,19,7
splacona_cz,11,2065.98,1,300,52,Kobieta,175,48,5
splacona,12,1884.29,0,300,39,Mężczyzna,16,7,14
splacona_cz,11,3200,1,600,51,Kobieta,50,48,0
splacona_cz,11,2031,0,1000,56,Mężczyzna,110,48,0
splacona,11,3000,0,400,26,Mężczyzna,37,48,11
splacona_cz,12,670,1,300,45,Mężczyzna,5,6,2
windykacja,13,1721,1,350,71,Kobieta,193,48,0
windykacja,13,1029.7,0,200,60,Kobieta,5,48,0
splacona_cz,98,1200,1,285.97,38,Kobieta,42,48,2
splacona_cz,11,1770,1,280.11,39,Kobieta,83,48,2
splacona,99,2500,0,400,55,Mężczyzna,1,2,83
splacona_cz,11,1250,1,500,61,Mężczyzna,61,48,0
splacona_cz,16,749.28,1,200,53,Kobieta,61,48,0
splacona_cz,16,980,1,400,68,Kobieta,127,48,0
odmowa,13,1100,0,300,70,Mężczyzna,62,48,0
odmowa,11,10000,0,1000,25,Mężczyzna,5,48,0
splacona,13,1977,0,400,61,Kobieta,51,48,0
splacona_cz,13,975,1,277.4,61,Kobieta,23,48,0
splacona_cz,11,3335,1,600,56,Mężczyzna,429,48,0
splacona_cz,98,980,0,300,56,Kobieta,7,48,0
odmowa,13,1742.76,0,200,63,Mężczyzna,38,48,0
splacona_cz,13,860,1,789.27,63,Kobieta,77,48,2
odmowa,16,1700,0,500,48,Mężczyzna,242,48,0
splacona,16,1401,0,300,69,Kobieta,72,48,15
splacona_cz,99,1100,0,200,53,Kobieta,49,0,0
splacona,11,1500,1,377.92,27,Kobieta,21,48,17
splacona_cz,11,3100,1,500,32,Kobieta,118,48,0
splacona_cz,11,2700,1,400,37,Kobieta,118,48,0
windykacja,13,750,0,200,61,Kobieta,62,48,0
splacona_cz,13,784,0,200,60,Kobieta,36,48,0
splacona_cz,13,2110,1,300,66,Mężczyzna,98,48,0
splacona_cz,99,685,1,250,62,Mężczyzna,2,0,1
splacona_cz,13,1300,0,300,66,Mężczyzna,75,48,7
splacona_cz,13,1026,1,200,74,Kobieta,244,48,0
splacona,13,907,0,200,60,Mężczyzna,5,48,165
splacona_cz,12,1032.34,1,200,31,Kobieta,2,9,0
