@RELATION kredyty

@ATTRIBUTE rodzaj_źródła_dochodu NUMERIC
@ATTRIBUTE miesięczny_dochód_netto NUMERIC
@ATTRIBUTE które_rolowanie NUMERIC
@ATTRIBUTE kwota_kredytu NUMERIC
@ATTRIBUTE wiek NUMERIC
@ATTRIBUTE płeć {Kobieta, Mężczyzna}
@ATTRIBUTE okres_pobierania_dochodu NUMERIC
@ATTRIBUTE okres_będzie_pobierał_dochód NUMERIC
@ATTRIBUTE opóźnienie_spłaty NUMERIC

@DATA
16.0,959.6,0.0,200.0,69.0,Kobieta,111.0,48.0,0.0
13.0,1031.0,0.0,400.0,66.0,Kobieta,117.0,48.0,0.0
11.0,1800.0,0.0,600.0,39.0,Kobieta,48.0,48.0,5.0
13.0,1072.0,1.0,432.44,69.0,Kobieta,149.0,48.0,1.0
17.0,985.0,1.0,200.0,20.0,Mężczyzna,9.0,2.0,1.0
11.0,1136.8,0.0,200.0,26.0,Mężczyzna,5.0,48.0,0.0
99.0,2800.0,1.0,200.0,38.0,Kobieta,6.0,0.0,0.0
11.0,770.0,1.0,200.0,47.0,Kobieta,99.0,48.0,449.0
99.0,750.0,0.0,300.0,19.0,Mężczyzna,0.0,5.0,0.0
11.0,2670.0,1.0,800.0,60.0,Kobieta,84.0,48.0,6.0
16.0,1313.41,0.0,400.0,62.0,Mężczyzna,24.0,48.0,0.0
13.0,2291.0,1.0,700.0,69.0,Kobieta,67.0,48.0,0.0
13.0,1454.91,0.0,400.0,58.0,Kobieta,38.0,48.0,0.0
11.0,2258.0,1.0,700.0,42.0,Mężczyzna,71.0,48.0,0.0
13.0,1362.0,1.0,500.0,61.0,Kobieta,52.0,48.0,4.0
11.0,2837.0,1.0,662.69,30.0,Mężczyzna,122.0,48.0,12.0
13.0,714.0,1.0,200.0,62.0,Kobieta,218.0,48.0,3.0
13.0,1026.0,1.0,200.0,74.0,Kobieta,243.0,48.0,1.0
13.0,1261.6,0.0,400.0,64.0,Mężczyzna,49.0,48.0,0.0
13.0,1442.43,1.0,200.0,79.0,Kobieta,137.0,48.0,0.0
16.0,588.0,1.0,600.0,55.0,Mężczyzna,418.0,48.0,0.0
12.0,1600.0,0.0,200.0,20.0,Kobieta,0.0,2.0,0.0
13.0,1668.0,1.0,352.42,63.0,Kobieta,87.0,48.0,0.0
11.0,980.0,0.0,300.0,48.0,Kobieta,196.0,48.0,0.0
12.0,1000.0,1.0,300.0,50.0,Mężczyzna,39.0,23.0,0.0
17.0,926.0,1.0,300.0,24.0,Mężczyzna,52.0,2.0,7.0
13.0,1240.0,1.0,300.0,58.0,Kobieta,66.0,48.0,1.0
17.0,926.0,1.0,520.7,24.0,Mężczyzna,52.0,2.0,7.0
13.0,1377.23,1.0,888.47,76.0,Kobieta,253.0,48.0,150.0
12.0,1000.0,1.0,200.0,40.0,Mężczyzna,2.0,1.0,0.0
11.0,1888.27,0.0,400.0,29.0,Mężczyzna,73.0,48.0,0.0
11.0,1110.0,0.0,400.0,25.0,Mężczyzna,6.0,48.0,0.0
13.0,865.0,1.0,300.0,70.0,Kobieta,124.0,48.0,10.0
16.0,1045.6,1.0,500.0,54.0,Kobieta,8.0,48.0,0.0
12.0,900.0,1.0,400.0,28.0,Mężczyzna,14.0,6.0,1.0
13.0,930.0,1.0,673.09,63.0,Kobieta,90.0,48.0,5.0
11.0,1600.0,0.0,400.0,55.0,Mężczyzna,45.0,48.0,406.0
11.0,3250.0,0.0,500.0,49.0,Mężczyzna,1.0,48.0,3.0
13.0,1250.0,0.0,200.0,67.0,Mężczyzna,63.0,48.0,0.0
13.0,802.83,0.0,200.0,65.0,Kobieta,197.0,48.0,0.0
13.0,634.64,0.0,250.0,61.0,Kobieta,9.0,48.0,0.0
13.0,1370.0,0.0,900.0,59.0,Kobieta,72.0,48.0,2.0
11.0,1400.0,1.0,300.0,43.0,Kobieta,21.0,48.0,0.0
17.0,749.74,1.0,200.0,52.0,Mężczyzna,107.0,27.0,0.0
11.0,2200.0,0.0,900.0,33.0,Kobieta,33.0,48.0,0.0
13.0,670.0,1.0,200.0,65.0,Kobieta,62.0,48.0,0.0
11.0,1700.0,1.0,281.29,53.0,Kobieta,201.0,48.0,0.0
11.0,2250.05,1.0,500.0,61.0,Mężczyzna,172.0,48.0,14.0
99.0,645.31,0.0,300.0,43.0,Kobieta,7.0,5.0,0.0
11.0,1187.06,0.0,200.0,56.0,Kobieta,129.0,48.0,0.0
13.0,1090.14,0.0,400.0,61.0,Kobieta,71.0,48.0,0.0
13.0,785.0,0.0,200.0,72.0,Kobieta,60.0,48.0,0.0
13.0,2802.0,1.0,700.0,72.0,Mężczyzna,243.0,48.0,16.0
11.0,1577.42,1.0,400.0,50.0,Kobieta,201.0,48.0,1.0
12.0,3000.0,1.0,626.61,37.0,Mężczyzna,4.0,6.0,29.0
12.0,1210.0,0.0,200.0,52.0,Mężczyzna,3.0,6.0,0.0
99.0,611.36,0.0,300.0,61.0,Mężczyzna,8.0,4.0,0.0
11.0,2700.0,1.0,500.0,31.0,Mężczyzna,11.0,48.0,0.0
12.0,600.0,1.0,300.0,47.0,Mężczyzna,5.0,22.0,0.0
17.0,1200.0,1.0,200.0,25.0,Kobieta,161.0,19.0,0.0
11.0,1077.49,0.0,300.0,48.0,Kobieta,368.0,48.0,0.0
13.0,1291.18,1.0,400.0,70.0,Kobieta,75.0,48.0,0.0
11.0,1033.0,0.0,400.0,33.0,Mężczyzna,32.0,48.0,3.0
11.0,1800.0,1.0,500.0,49.0,Kobieta,49.0,48.0,2.0
11.0,2050.0,1.0,575.74,32.0,Mężczyzna,114.0,48.0,1.0
11.0,2400.0,0.0,600.0,35.0,Kobieta,109.0,48.0,0.0
12.0,1700.0,1.0,400.0,54.0,Kobieta,51.0,2.0,0.0
16.0,1389.0,0.0,200.0,63.0,Kobieta,87.0,48.0,0.0
16.0,763.38,0.0,200.0,57.0,Mężczyzna,207.0,48.0,0.0
13.0,1017.0,1.0,285.97,68.0,Kobieta,157.0,48.0,1.0
11.0,658.0,0.0,200.0,46.0,Kobieta,89.0,48.0,0.0
13.0,729.03,1.0,300.0,70.0,Kobieta,253.0,48.0,0.0
11.0,2031.0,1.0,600.0,56.0,Mężczyzna,110.0,48.0,0.0
17.0,990.0,1.0,400.0,50.0,Kobieta,68.0,17.0,0.0
11.0,2080.0,1.0,300.0,53.0,Mężczyzna,314.0,48.0,0.0
12.0,1017.0,0.0,200.0,36.0,Mężczyzna,53.0,6.0,0.0
13.0,910.0,1.0,200.0,66.0,Kobieta,66.0,48.0,0.0
11.0,1400.0,0.0,300.0,23.0,Mężczyzna,21.0,48.0,0.0
11.0,1700.0,0.0,500.0,36.0,Kobieta,193.0,48.0,1.0
12.0,1040.0,1.0,400.0,52.0,Kobieta,14.0,5.0,0.0
11.0,2500.0,0.0,300.0,36.0,Mężczyzna,151.0,48.0,0.0
13.0,1244.77,1.0,300.0,58.0,Kobieta,35.0,48.0,1.0
11.0,1060.96,0.0,400.0,34.0,Mężczyzna,6.0,48.0,464.0
13.0,960.0,1.0,300.0,73.0,Mężczyzna,136.0,48.0,7.0
13.0,1457.0,0.0,300.0,73.0,Mężczyzna,75.0,48.0,0.0
12.0,700.0,0.0,200.0,40.0,Mężczyzna,5.0,18.0,0.0
13.0,722.05,0.0,200.0,71.0,Kobieta,193.0,48.0,6.0
13.0,1216.0,1.0,200.0,66.0,Kobieta,137.0,48.0,0.0
12.0,2000.0,0.0,500.0,34.0,Kobieta,3.0,2.0,0.0
13.0,1872.0,1.0,700.0,58.0,Kobieta,31.0,48.0,1.0
13.0,3440.0,1.0,800.0,55.0,Kobieta,47.0,48.0,8.0
12.0,1463.56,1.0,300.0,43.0,Mężczyzna,2.0,10.0,0.0
11.0,2478.0,0.0,540.54,36.0,Kobieta,154.0,48.0,436.0
12.0,855.0,1.0,600.0,31.0,Kobieta,40.0,20.0,0.0
98.0,4000.0,1.0,500.8,35.0,Kobieta,15.0,48.0,1.0
11.0,4900.0,0.0,500.0,50.0,Kobieta,7.0,48.0,0.0
13.0,1280.0,1.0,400.0,61.0,Kobieta,13.0,48.0,0.0
11.0,2200.0,1.0,500.0,35.0,Mężczyzna,81.0,48.0,8.0
12.0,1540.0,0.0,600.0,33.0,Kobieta,35.0,4.0,0.0
12.0,1000.0,1.0,300.0,50.0,Kobieta,28.0,1.0,9.0
16.0,726.0,1.0,300.0,59.0,Mężczyzna,229.0,48.0,2.0
13.0,1530.0,1.0,500.0,64.0,Mężczyzna,31.0,48.0,5.0
12.0,1000.0,1.0,300.0,52.0,Mężczyzna,5.0,0.0,0.0
11.0,1552.16,1.0,449.61,54.0,Mężczyzna,95.0,48.0,236.0
11.0,2709.34,1.0,369.96,35.0,Kobieta,177.0,48.0,1.0
12.0,2673.17,1.0,600.0,51.0,Mężczyzna,108.0,48.0,0.0
13.0,1169.0,0.0,300.0,66.0,Mężczyzna,75.0,48.0,398.0
13.0,1561.87,0.0,400.0,57.0,Mężczyzna,193.0,48.0,1.0
11.0,2470.0,1.0,426.61,49.0,Kobieta,350.0,48.0,0.0
11.0,1344.9,0.0,300.0,45.0,Kobieta,42.0,48.0,5.0
13.0,930.0,1.0,200.0,72.0,Kobieta,235.0,48.0,0.0
13.0,1125.0,1.0,200.0,65.0,Kobieta,121.0,48.0,0.0
11.0,980.11,1.0,400.0,34.0,Kobieta,41.0,48.0,0.0
12.0,1000.0,1.0,300.0,60.0,Mężczyzna,8.0,2.0,8.0
13.0,1611.0,1.0,300.0,65.0,Mężczyzna,137.0,48.0,0.0
13.0,1200.0,1.0,500.0,70.0,Kobieta,115.0,48.0,0.0
13.0,1050.0,1.0,600.0,61.0,Kobieta,135.0,48.0,1.0
13.0,1199.37,0.0,300.0,61.0,Kobieta,11.0,48.0,452.0
13.0,1400.0,0.0,400.0,59.0,Kobieta,50.0,48.0,0.0
12.0,1300.0,1.0,600.0,29.0,Mężczyzna,23.0,18.0,7.0
11.0,1721.7,1.0,335.97,54.0,Kobieta,116.0,48.0,1.0
17.0,798.8,1.0,300.0,54.0,Mężczyzna,145.0,5.0,7.0
11.0,1500.0,0.0,200.0,57.0,Mężczyzna,391.0,48.0,1.0
12.0,980.0,1.0,200.0,31.0,Kobieta,6.0,0.0,3.0
13.0,1000.0,0.0,200.0,75.0,Kobieta,207.0,48.0,7.0
13.0,919.0,1.0,430.0,66.0,Kobieta,137.0,48.0,14.0
12.0,1032.0,1.0,300.0,46.0,Kobieta,34.0,6.0,5.0
13.0,856.0,0.0,200.0,64.0,Kobieta,53.0,48.0,0.0
16.0,1770.0,1.0,500.0,58.0,Mężczyzna,85.0,48.0,0.0
16.0,1788.0,1.0,300.0,54.0,Kobieta,59.0,48.0,462.0
12.0,599.03,0.0,200.0,37.0,Kobieta,15.0,3.0,6.0
12.0,1000.0,1.0,231.22,52.0,Mężczyzna,8.0,31.0,7.0
13.0,1085.0,1.0,400.0,67.0,Kobieta,162.0,48.0,0.0
13.0,1900.0,1.0,500.0,56.0,Mężczyzna,146.0,48.0,0.0
12.0,1963.88,0.0,400.0,44.0,Mężczyzna,2.0,3.0,0.0
13.0,1772.53,0.0,400.0,71.0,Mężczyzna,276.0,48.0,0.0
16.0,1100.0,1.0,600.0,69.0,Mężczyzna,133.0,48.0,0.0
16.0,1473.04,0.0,400.0,65.0,Mężczyzna,161.0,48.0,4.0
13.0,1026.0,1.0,300.0,60.0,Kobieta,51.0,48.0,0.0
13.0,917.0,0.0,300.0,63.0,Kobieta,72.0,48.0,10.0
13.0,1160.0,0.0,500.0,61.0,Kobieta,74.0,48.0,0.0
98.0,3178.0,1.0,500.0,43.0,Mężczyzna,197.0,48.0,7.0
11.0,932.34,1.0,200.0,51.0,Kobieta,391.0,48.0,0.0
13.0,1420.0,0.0,200.0,70.0,Mężczyzna,49.0,48.0,0.0
11.0,1443.0,1.0,600.0,43.0,Kobieta,30.0,48.0,0.0
13.0,936.0,1.0,300.0,60.0,Kobieta,27.0,48.0,0.0
13.0,1083.23,1.0,200.0,58.0,Kobieta,93.0,48.0,0.0
12.0,1300.0,0.0,300.0,26.0,Kobieta,4.0,8.0,1.0
12.0,1500.0,0.0,300.0,22.0,Kobieta,0.0,2.0,1.0
16.0,1362.0,1.0,400.0,53.0,Kobieta,25.0,48.0,0.0
16.0,1138.01,0.0,300.0,73.0,Kobieta,3.0,48.0,16.0
13.0,2113.24,0.0,400.0,64.0,Kobieta,57.0,48.0,0.0
11.0,1400.0,1.0,300.0,52.0,Kobieta,157.0,48.0,1.0
13.0,3040.0,1.0,700.0,65.0,Mężczyzna,197.0,48.0,0.0
13.0,1921.0,1.0,200.0,71.0,Mężczyzna,85.0,48.0,0.0
12.0,984.34,0.0,200.0,53.0,Kobieta,14.0,6.0,0.0
13.0,580.0,1.0,800.0,56.0,Kobieta,115.0,48.0,3.0
11.0,1000.0,1.0,300.0,30.0,Mężczyzna,53.0,48.0,0.0
11.0,901.0,0.0,300.0,28.0,Kobieta,36.0,48.0,0.0
13.0,2000.0,1.0,250.0,68.0,Mężczyzna,41.0,48.0,0.0
11.0,1077.0,1.0,200.0,55.0,Kobieta,179.0,48.0,0.0
13.0,1162.41,1.0,250.0,68.0,Mężczyzna,100.0,48.0,0.0
11.0,2256.0,0.0,800.0,32.0,Mężczyzna,70.0,48.0,0.0
11.0,992.84,1.0,300.0,49.0,Kobieta,117.0,48.0,1.0
17.0,728.0,1.0,200.0,27.0,Mężczyzna,96.0,34.0,0.0
11.0,2947.0,1.0,476.61,59.0,Mężczyzna,49.0,48.0,4.0
98.0,911.0,1.0,250.0,46.0,Kobieta,94.0,48.0,1.0
13.0,1134.96,1.0,200.0,68.0,Kobieta,157.0,48.0,5.0
12.0,1382.0,0.0,200.0,37.0,Kobieta,17.0,6.0,0.0
13.0,866.46,1.0,200.0,73.0,Kobieta,191.0,48.0,0.0
12.0,1030.0,1.0,296.54,34.0,Mężczyzna,1.0,22.0,22.0
11.0,2100.0,0.0,400.0,60.0,Mężczyzna,183.0,48.0,0.0
13.0,1800.0,1.0,200.0,69.0,Kobieta,113.0,48.0,0.0
16.0,650.77,0.0,200.0,64.0,Mężczyzna,44.0,48.0,0.0
16.0,1072.89,1.0,300.0,55.0,Kobieta,118.0,48.0,0.0
13.0,2040.0,0.0,300.0,63.0,Mężczyzna,140.0,48.0,0.0
11.0,1200.0,0.0,400.0,54.0,Kobieta,97.0,48.0,0.0
16.0,634.64,0.0,300.0,57.0,Kobieta,132.0,48.0,0.0
12.0,1042.0,0.0,300.0,49.0,Mężczyzna,1.0,1.0,0.0
11.0,3500.0,1.0,400.0,42.0,Mężczyzna,24.0,48.0,5.0
11.0,1037.34,1.0,200.0,41.0,Kobieta,58.0,48.0,0.0
13.0,714.0,1.0,200.0,62.0,Kobieta,218.0,48.0,0.0
13.0,1287.66,0.0,300.0,63.0,Mężczyzna,92.0,48.0,5.0
98.0,2200.0,1.0,500.0,47.0,Kobieta,21.0,48.0,0.0
11.0,2300.0,0.0,200.0,37.0,Mężczyzna,101.0,48.0,148.0
11.0,1566.82,0.0,200.0,46.0,Mężczyzna,345.0,48.0,0.0
11.0,1071.61,0.0,200.0,52.0,Kobieta,399.0,48.0,182.0
11.0,800.51,0.0,400.0,38.0,Kobieta,16.0,48.0,1.0
12.0,1500.0,1.0,500.0,52.0,Kobieta,22.0,10.0,0.0
12.0,1400.0,0.0,300.0,28.0,Mężczyzna,5.0,18.0,7.0
11.0,967.64,0.0,200.0,48.0,Kobieta,315.0,48.0,0.0
13.0,1635.0,1.0,200.0,60.0,Kobieta,116.0,48.0,7.0
13.0,1000.0,0.0,300.0,70.0,Kobieta,60.0,48.0,0.0
13.0,1400.0,1.0,400.0,59.0,Kobieta,242.0,48.0,0.0
13.0,2612.0,0.0,500.0,72.0,Mężczyzna,78.0,48.0,0.0
